Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9762,0.9915,0.7895,0.9375,0.8571,0.8443,0.848,LGBMClassifier,0
0.9714,0.9548,0.8421,0.8421,0.8421,0.8264,0.8264,LGBMClassifier,1
0.9762,0.978,0.8947,0.85,0.8718,0.8587,0.859,LGBMClassifier,2
0.9761,0.9673,0.8421,0.8889,0.8649,0.8518,0.8521,LGBMClassifier,3
0.9809,0.9922,0.9474,0.8571,0.9,0.8894,0.8908,LGBMClassifier,4
0.9665,0.9911,0.6842,0.9286,0.7879,0.7701,0.7807,LGBMClassifier,5
0.9617,0.9654,0.6842,0.8667,0.7647,0.7442,0.7503,LGBMClassifier,6
0.9904,0.9892,0.8947,1.0,0.9444,0.9392,0.941,LGBMClassifier,7
0.9761,0.9967,0.8421,0.8889,0.8649,0.8518,0.8521,LGBMClassifier,8
0.9569,0.9715,0.6316,0.8571,0.7273,0.7045,0.7142,LGBMClassifier,9
0.9732,0.9798,0.8053,0.8917,0.8425,0.828,0.8315,LGBMClassifier,Mean
0.0091,0.0136,0.1,0.0473,0.0617,0.0664,0.0635,LGBMClassifier,Std
