Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9524,0.9603,0.8421,0.6957,0.7619,0.7357,0.7399,RidgeClassifier,0
0.8952,0.9383,0.8947,0.4595,0.6071,0.5538,0.5949,RidgeClassifier,1
0.9381,0.9689,0.9474,0.6,0.7347,0.7016,0.7251,RidgeClassifier,2
0.9091,0.9019,0.7895,0.5,0.6122,0.5637,0.5826,RidgeClassifier,3
0.8995,0.9859,0.9474,0.4737,0.6316,0.5808,0.6277,RidgeClassifier,4
0.9282,0.8981,0.7368,0.5833,0.6512,0.6118,0.617,RidgeClassifier,5
0.8947,0.9066,0.6316,0.4444,0.5217,0.4646,0.4737,RidgeClassifier,6
0.9474,0.9413,0.9474,0.6429,0.766,0.7375,0.7551,RidgeClassifier,7
0.9474,0.9659,0.8947,0.6538,0.7556,0.7269,0.7381,RidgeClassifier,8
0.9139,0.9496,0.7895,0.5172,0.625,0.5787,0.5953,RidgeClassifier,9
0.9226,0.9417,0.8421,0.5571,0.6667,0.6255,0.6449,RidgeClassifier,Mean
0.0217,0.029,0.0999,0.0851,0.0789,0.0894,0.0869,RidgeClassifier,Std
