Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9762,0.989,0.7895,0.9375,0.8571,0.8443,0.848,SGDClassifier,0
0.9667,0.9432,0.8947,0.7727,0.8293,0.8109,0.8136,SGDClassifier,1
0.9619,0.9901,0.8421,0.7619,0.8,0.779,0.7802,SGDClassifier,2
0.9665,0.9211,0.7368,0.875,0.8,0.7819,0.7853,SGDClassifier,3
0.9809,0.99,0.9474,0.8571,0.9,0.8894,0.8908,SGDClassifier,4
0.9713,0.9704,0.7368,0.9333,0.8235,0.8081,0.8148,SGDClassifier,5
0.9474,0.9737,0.6842,0.7222,0.7027,0.6739,0.6742,SGDClassifier,6
0.9761,0.9452,0.8947,0.85,0.8718,0.8586,0.859,SGDClassifier,7
0.9904,0.9798,0.8947,1.0,0.9444,0.9392,0.941,SGDClassifier,8
0.9761,0.9812,0.8421,0.8889,0.8649,0.8518,0.8521,SGDClassifier,9
0.9713,0.9684,0.8263,0.8599,0.8394,0.8237,0.8259,SGDClassifier,Mean
0.0111,0.0226,0.0817,0.0827,0.0623,0.0683,0.0684,SGDClassifier,Std
