Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9762,0.9956,0.7895,0.9375,0.8571,0.8443,0.848,LogisticRegression,0
0.9667,0.9441,0.8947,0.7727,0.8293,0.8109,0.8136,LogisticRegression,1
0.9762,0.9848,0.8947,0.85,0.8718,0.8587,0.859,LogisticRegression,2
0.9569,0.933,0.7368,0.7778,0.7568,0.7332,0.7335,LogisticRegression,3
0.9713,0.9931,0.9474,0.7826,0.8571,0.8413,0.8461,LogisticRegression,4
0.9713,0.9873,0.7368,0.9333,0.8235,0.8081,0.8148,LogisticRegression,5
0.9569,0.9795,0.7368,0.7778,0.7568,0.7332,0.7335,LogisticRegression,6
0.9904,0.9981,0.9474,0.9474,0.9474,0.9421,0.9421,LogisticRegression,7
0.9856,0.9886,0.8947,0.9444,0.9189,0.9111,0.9115,LogisticRegression,8
0.9665,0.9845,0.7895,0.8333,0.8108,0.7925,0.7928,LogisticRegression,9
0.9718,0.9788,0.8368,0.8557,0.8429,0.8275,0.8295,LogisticRegression,Mean
0.0104,0.021,0.0831,0.0734,0.0586,0.0642,0.0641,LogisticRegression,Std
