Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9762,0.9906,0.8947,0.85,0.8718,0.8587,0.859,GradientBoostingClassifier,0
0.9619,0.9435,0.7895,0.7895,0.7895,0.7685,0.7685,GradientBoostingClassifier,1
0.9714,0.954,0.8947,0.8095,0.85,0.8343,0.8355,GradientBoostingClassifier,2
0.9809,0.9482,0.8421,0.9412,0.8889,0.8785,0.8801,GradientBoostingClassifier,3
0.9713,0.9934,0.8947,0.8095,0.85,0.8342,0.8354,GradientBoostingClassifier,4
0.9569,0.9861,0.5789,0.9167,0.7097,0.6877,0.7089,GradientBoostingClassifier,5
0.9617,0.9584,0.6842,0.8667,0.7647,0.7442,0.7503,GradientBoostingClassifier,6
0.9952,0.9992,0.9474,1.0,0.973,0.9704,0.9708,GradientBoostingClassifier,7
0.9761,0.995,0.8421,0.8889,0.8649,0.8518,0.8521,GradientBoostingClassifier,8
0.9665,0.9615,0.7368,0.875,0.8,0.7819,0.7853,GradientBoostingClassifier,9
0.9718,0.973,0.8105,0.8747,0.8362,0.821,0.8246,GradientBoostingClassifier,Mean
0.0106,0.0206,0.1084,0.0621,0.0697,0.075,0.0709,GradientBoostingClassifier,Std
