Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.985,0.9876,0.8947,0.8095,0.85,0.8421,0.8433,LGBMClassifier,0
0.9825,0.9721,0.6842,0.9286,0.7879,0.779,0.7889,LGBMClassifier,1
0.9825,0.9621,0.7895,0.8333,0.8108,0.8016,0.802,LGBMClassifier,2
0.98,0.9316,0.6842,0.8667,0.7647,0.7544,0.7602,LGBMClassifier,3
0.9925,0.9994,0.8421,1.0,0.9143,0.9104,0.9141,LGBMClassifier,4
0.99,0.9891,0.7895,1.0,0.8824,0.8772,0.8839,LGBMClassifier,5
0.9774,0.9494,0.6316,0.8571,0.7273,0.7158,0.7249,LGBMClassifier,6
0.9875,0.9921,0.7895,0.9375,0.8571,0.8506,0.8541,LGBMClassifier,7
0.9825,0.9759,0.7368,0.875,0.8,0.7909,0.7941,LGBMClassifier,8
0.9875,0.9814,0.7895,0.9375,0.8571,0.8506,0.8541,LGBMClassifier,9
0.9847,0.9741,0.7632,0.9045,0.8252,0.8173,0.8219,LGBMClassifier,Mean
0.0044,0.02,0.0754,0.063,0.0542,0.0564,0.0551,LGBMClassifier,Std
