Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9825,0.9954,0.9474,0.75,0.8372,0.8281,0.8344,LogisticRegression,0
0.9775,0.979,0.6316,0.8571,0.7273,0.7158,0.7249,LogisticRegression,1
0.985,0.9866,0.9474,0.7826,0.8571,0.8493,0.8536,LogisticRegression,2
0.9725,0.895,0.6316,0.75,0.6857,0.6714,0.6742,LogisticRegression,3
0.9875,0.9954,0.8947,0.85,0.8718,0.8652,0.8655,LogisticRegression,4
0.9825,0.9894,0.7895,0.8333,0.8108,0.8016,0.802,LogisticRegression,5
0.9799,0.9393,0.7895,0.7895,0.7895,0.7789,0.7789,LogisticRegression,6
0.9825,0.9742,0.8421,0.8,0.8205,0.8113,0.8116,LogisticRegression,7
0.9925,0.9874,0.8947,0.9444,0.9189,0.915,0.9153,LogisticRegression,8
0.9875,0.9519,0.8947,0.85,0.8718,0.8652,0.8655,LogisticRegression,9
0.983,0.9694,0.8263,0.8207,0.8191,0.8102,0.8126,LogisticRegression,Mean
0.0053,0.0304,0.1105,0.056,0.0667,0.0693,0.0681,LogisticRegression,Std
