Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.965,0.9711,0.9474,0.5806,0.72,0.7025,0.7265,RidgeClassifier,0
0.975,0.9762,0.7895,0.7143,0.75,0.7369,0.7379,RidgeClassifier,1
0.9725,0.9888,0.8947,0.6538,0.7556,0.7414,0.7516,RidgeClassifier,2
0.9725,0.8748,0.6842,0.7222,0.7027,0.6883,0.6886,RidgeClassifier,3
0.9825,0.9971,0.9474,0.75,0.8372,0.8281,0.8344,RidgeClassifier,4
0.985,0.9825,0.8947,0.8095,0.85,0.8421,0.8433,RidgeClassifier,5
0.9674,0.9341,0.8421,0.6154,0.7111,0.6943,0.7039,RidgeClassifier,6
0.9724,0.9838,0.8421,0.6667,0.7442,0.7298,0.7354,RidgeClassifier,7
0.9799,0.9704,0.8421,0.7619,0.8,0.7895,0.7906,RidgeClassifier,8
0.9799,0.9837,0.8947,0.7391,0.8095,0.799,0.8031,RidgeClassifier,9
0.9752,0.9662,0.8579,0.7014,0.768,0.7552,0.7615,RidgeClassifier,Mean
0.0062,0.0344,0.0746,0.0672,0.0501,0.053,0.0508,RidgeClassifier,Std
