Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.7368,0.7895,0.7368,0.7368,0.7368,0.4737,0.4737,ExtraTreesClassifier,0
0.8684,0.892,0.8421,0.8889,0.8649,0.7368,0.7379,ExtraTreesClassifier,1
0.8158,0.8878,0.7368,0.875,0.8,0.6316,0.6396,ExtraTreesClassifier,2
0.7895,0.8393,0.7895,0.7895,0.7895,0.5789,0.5789,ExtraTreesClassifier,3
0.8947,0.9501,0.8947,0.8947,0.8947,0.7895,0.7895,ExtraTreesClassifier,4
0.8947,0.9806,0.8947,0.8947,0.8947,0.7895,0.7895,ExtraTreesClassifier,5
0.8158,0.8795,0.9474,0.75,0.8372,0.6316,0.6547,ExtraTreesClassifier,6
0.8421,0.9321,0.8947,0.8095,0.85,0.6842,0.688,ExtraTreesClassifier,7
0.8158,0.8518,0.8421,0.8,0.8205,0.6316,0.6325,ExtraTreesClassifier,8
0.8684,0.9169,0.8421,0.8889,0.8649,0.7368,0.7379,ExtraTreesClassifier,9
0.8342,0.892,0.8421,0.8328,0.8353,0.6684,0.6722,ExtraTreesClassifier,Mean
0.0471,0.0534,0.0666,0.0594,0.0472,0.0943,0.0935,ExtraTreesClassifier,Std
