Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.7895,0.856,0.7895,0.7895,0.7895,0.5789,0.5789,LogisticRegression,0
0.8421,0.9003,0.7895,0.8824,0.8333,0.6842,0.688,LogisticRegression,1
0.8158,0.9141,0.7895,0.8333,0.8108,0.6316,0.6325,LogisticRegression,2
0.8947,0.9806,0.8421,0.9412,0.8889,0.7895,0.7939,LogisticRegression,3
0.9211,0.9446,0.8421,1.0,0.9143,0.8421,0.8528,LogisticRegression,4
0.9211,0.9501,0.9474,0.9,0.9231,0.8421,0.8433,LogisticRegression,5
0.8684,0.9446,0.9474,0.8182,0.878,0.7368,0.7462,LogisticRegression,6
0.7105,0.867,0.7895,0.6818,0.7317,0.4211,0.4264,LogisticRegression,7
0.7895,0.9003,0.8421,0.7619,0.8,0.5789,0.5822,LogisticRegression,8
0.8158,0.9252,0.8421,0.8,0.8205,0.6316,0.6325,LogisticRegression,9
0.8368,0.9183,0.8421,0.8408,0.839,0.6737,0.6777,LogisticRegression,Mean
0.0632,0.0368,0.0577,0.0878,0.0578,0.1263,0.1275,LogisticRegression,Std
