Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9762,0.992,0.7895,0.9375,0.8571,0.8443,0.848,LogisticRegression,0
0.9619,0.9443,0.8947,0.7391,0.8095,0.7886,0.793,LogisticRegression,1
0.9762,0.9763,0.8947,0.85,0.8718,0.8587,0.859,LogisticRegression,2
0.9569,0.9302,0.7368,0.7778,0.7568,0.7332,0.7335,LogisticRegression,3
0.9761,0.9945,0.9474,0.8182,0.878,0.8649,0.8677,LogisticRegression,4
0.9713,0.9914,0.7368,0.9333,0.8235,0.8081,0.8148,LogisticRegression,5
0.9522,0.9798,0.7368,0.7368,0.7368,0.7105,0.7105,LogisticRegression,6
0.9904,0.9986,0.9474,0.9474,0.9474,0.9421,0.9421,LogisticRegression,7
0.9856,0.9873,0.8947,0.9444,0.9189,0.9111,0.9115,LogisticRegression,8
0.9665,0.9842,0.7895,0.8333,0.8108,0.7925,0.7928,LogisticRegression,9
0.9713,0.9779,0.8368,0.8518,0.8411,0.8254,0.8273,LogisticRegression,Mean
0.0115,0.0215,0.0831,0.0804,0.0633,0.0696,0.0695,LogisticRegression,Std
