Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9286,0.954,0.7895,0.5769,0.6667,0.6277,0.6374,RidgeClassifier,0
0.8952,0.9394,0.8947,0.4595,0.6071,0.5538,0.5949,RidgeClassifier,1
0.9381,0.9777,0.9474,0.6,0.7347,0.7016,0.7251,RidgeClassifier,2
0.9378,0.9028,0.7895,0.625,0.6977,0.6635,0.6692,RidgeClassifier,3
0.9139,0.9864,0.9474,0.5143,0.6667,0.6221,0.6605,RidgeClassifier,4
0.9474,0.9152,0.7368,0.7,0.7179,0.6889,0.6892,RidgeClassifier,5
0.8995,0.8945,0.6316,0.4615,0.5333,0.4786,0.486,RidgeClassifier,6
0.9474,0.9418,0.9474,0.6429,0.766,0.7375,0.7551,RidgeClassifier,7
0.9426,0.9668,0.8421,0.64,0.7273,0.6959,0.704,RidgeClassifier,8
0.9234,0.9521,0.7895,0.5556,0.6522,0.6106,0.6225,RidgeClassifier,9
0.9274,0.9431,0.8316,0.5776,0.677,0.638,0.6544,RidgeClassifier,Mean
0.0181,0.0294,0.0993,0.076,0.065,0.0736,0.0723,RidgeClassifier,Std
