Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.8087,0.8843,0.8421,0.4571,0.5926,0.4816,0.5199,RidgeClassifier,0
0.7826,0.8774,0.75,0.4286,0.5455,0.4162,0.4444,RidgeClassifier,1
0.8421,0.9324,0.8421,0.5161,0.64,0.5462,0.5731,RidgeClassifier,2
0.8421,0.9274,0.8947,0.5152,0.6538,0.561,0.5968,RidgeClassifier,3
0.8684,0.944,0.8421,0.5714,0.6809,0.6018,0.6197,RidgeClassifier,4
0.8509,0.8759,0.7368,0.5385,0.6222,0.5321,0.5423,RidgeClassifier,5
0.7895,0.9014,0.7895,0.4286,0.5556,0.4331,0.4678,RidgeClassifier,6
0.7982,0.8787,0.7895,0.4412,0.566,0.448,0.4802,RidgeClassifier,7
0.7895,0.9053,0.9474,0.439,0.6,0.482,0.5477,RidgeClassifier,8
0.8246,0.8648,0.6316,0.48,0.5455,0.4393,0.4456,RidgeClassifier,9
0.8197,0.8992,0.8066,0.4816,0.6002,0.4941,0.5237,RidgeClassifier,Mean
0.0286,0.0261,0.0841,0.0483,0.0455,0.0595,0.0595,RidgeClassifier,Std
