Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9391,0.9523,0.8947,0.7727,0.8293,0.7925,0.7956,LogisticRegression,0
0.9565,0.9911,0.8,0.9412,0.8649,0.8392,0.8431,LogisticRegression,1
0.9737,0.9934,0.9474,0.9,0.9231,0.9072,0.9077,LogisticRegression,2
0.9211,0.9684,0.7368,0.7778,0.7568,0.7097,0.71,LogisticRegression,3
0.9561,0.9895,0.9474,0.8182,0.878,0.8515,0.8549,LogisticRegression,4
0.9649,0.9529,0.7895,1.0,0.8824,0.8621,0.8704,LogisticRegression,5
0.9561,0.9939,0.7895,0.9375,0.8571,0.8315,0.8357,LogisticRegression,6
0.9561,0.9479,0.8421,0.8889,0.8649,0.8387,0.8391,LogisticRegression,7
0.9561,0.995,0.9474,0.8182,0.878,0.8515,0.8549,LogisticRegression,8
0.9386,0.9839,0.7368,0.875,0.8,0.764,0.768,LogisticRegression,9
0.9518,0.9768,0.8432,0.8729,0.8534,0.8248,0.8279,LogisticRegression,Mean
0.0142,0.0184,0.0809,0.0715,0.0447,0.053,0.0534,LogisticRegression,Std
