Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9304,0.9134,0.8947,0.7391,0.8095,0.7674,0.7727,SGDClassifier,0
0.9565,0.98,0.85,0.8947,0.8718,0.8456,0.846,SGDClassifier,1
0.9737,0.9922,0.9474,0.9,0.9231,0.9072,0.9077,SGDClassifier,2
0.9211,0.9413,0.6842,0.8125,0.7429,0.6966,0.7002,SGDClassifier,3
0.9561,0.985,0.9474,0.8182,0.878,0.8515,0.8549,SGDClassifier,4
0.9298,0.9064,0.7895,0.7895,0.7895,0.7474,0.7474,SGDClassifier,5
0.9649,0.9934,0.8421,0.9412,0.8889,0.8681,0.87,SGDClassifier,6
0.9561,0.944,0.8421,0.8889,0.8649,0.8387,0.8391,SGDClassifier,7
0.9561,0.9928,0.9474,0.8182,0.878,0.8515,0.8549,SGDClassifier,8
0.9649,0.9789,0.8947,0.8947,0.8947,0.8737,0.8737,SGDClassifier,9
0.951,0.9627,0.8639,0.8497,0.8541,0.8248,0.8267,SGDClassifier,Mean
0.0167,0.0319,0.0786,0.0598,0.0527,0.0623,0.0616,SGDClassifier,Std
