Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9391,0.9479,0.7895,0.8333,0.8108,0.7746,0.775,ExtraTreesClassifier,0
0.9652,0.9942,0.85,0.9444,0.8947,0.874,0.8757,ExtraTreesClassifier,1
0.9474,0.9828,0.8421,0.8421,0.8421,0.8105,0.8105,ExtraTreesClassifier,2
0.9561,0.9701,0.8421,0.8889,0.8649,0.8387,0.8391,ExtraTreesClassifier,3
0.9561,0.9939,0.8947,0.85,0.8718,0.8454,0.8458,ExtraTreesClassifier,4
0.9298,0.9551,0.6842,0.8667,0.7647,0.7241,0.7311,ExtraTreesClassifier,5
0.9386,0.9474,0.6842,0.9286,0.7879,0.7529,0.7649,ExtraTreesClassifier,6
0.9561,0.9213,0.8421,0.8889,0.8649,0.8387,0.8391,ExtraTreesClassifier,7
0.9474,0.9701,0.8947,0.8095,0.85,0.8182,0.8197,ExtraTreesClassifier,8
0.9474,0.9773,0.7895,0.8824,0.8333,0.8022,0.8039,ExtraTreesClassifier,9
0.9483,0.966,0.8113,0.8735,0.8385,0.8079,0.8105,ExtraTreesClassifier,Mean
0.01,0.0219,0.0718,0.0399,0.0382,0.0435,0.0411,ExtraTreesClassifier,Std
