Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9938,0.9897,0.8421,0.8421,0.8421,0.839,0.839,GradientBoostingClassifier,0
0.9928,0.9401,0.7895,0.8333,0.8108,0.8071,0.8074,GradientBoostingClassifier,1
0.9949,0.9917,0.8947,0.85,0.8718,0.8692,0.8695,GradientBoostingClassifier,2
0.9907,0.9687,0.6316,0.8571,0.7273,0.7227,0.7314,GradientBoostingClassifier,3
0.9959,0.9836,0.8947,0.8947,0.8947,0.8926,0.8926,GradientBoostingClassifier,4
0.9928,0.9881,0.8421,0.8,0.8205,0.8168,0.8171,GradientBoostingClassifier,5
0.9876,0.9849,0.5789,0.7333,0.6471,0.6409,0.6455,GradientBoostingClassifier,6
0.9979,0.9979,0.9474,0.9474,0.9474,0.9463,0.9463,GradientBoostingClassifier,7
0.9918,0.9904,0.8421,0.7619,0.8,0.7958,0.7968,GradientBoostingClassifier,8
0.9948,0.9904,0.7895,0.9375,0.8571,0.8545,0.8578,GradientBoostingClassifier,9
0.9933,0.9825,0.8053,0.8457,0.8219,0.8185,0.8203,GradientBoostingClassifier,Mean
0.0027,0.0159,0.1105,0.0657,0.0808,0.0822,0.0803,GradientBoostingClassifier,Std
