Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9959,0.981,0.8421,0.9412,0.8889,0.8868,0.8882,LGBMClassifier,0
0.9938,0.9604,0.8421,0.8421,0.8421,0.839,0.839,LGBMClassifier,1
0.9969,0.9748,0.8947,0.9444,0.9189,0.9173,0.9177,LGBMClassifier,2
0.9918,0.9549,0.5789,1.0,0.7333,0.7295,0.7577,LGBMClassifier,3
0.9959,0.9616,0.8947,0.8947,0.8947,0.8926,0.8926,LGBMClassifier,4
0.9938,0.9935,0.8421,0.8421,0.8421,0.839,0.839,LGBMClassifier,5
0.9876,0.9753,0.5263,0.7692,0.625,0.6189,0.6305,LGBMClassifier,6
0.9979,0.9957,0.8947,1.0,0.9444,0.9434,0.9449,LGBMClassifier,7
0.9918,0.9921,0.8947,0.7391,0.8095,0.8053,0.8092,LGBMClassifier,8
0.9948,0.9933,0.7368,1.0,0.8485,0.8459,0.8561,LGBMClassifier,9
0.994,0.9783,0.7947,0.8973,0.8348,0.8318,0.8375,LGBMClassifier,Mean
0.0029,0.0146,0.1299,0.0913,0.0899,0.0913,0.086,LGBMClassifier,Std
