Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9949,0.9823,0.8947,0.85,0.8718,0.8692,0.8695,ExtraTreesClassifier,0
0.9918,0.9715,0.8421,0.7619,0.8,0.7958,0.7968,ExtraTreesClassifier,1
0.9907,0.9916,0.9474,0.6923,0.8,0.7954,0.8056,ExtraTreesClassifier,2
0.9918,0.9771,0.7368,0.8235,0.7778,0.7736,0.7748,ExtraTreesClassifier,3
0.9938,0.9823,0.8947,0.8095,0.85,0.8469,0.848,ExtraTreesClassifier,4
0.9897,0.9879,0.7368,0.7368,0.7368,0.7316,0.7316,ExtraTreesClassifier,5
0.9856,0.9894,0.5789,0.6471,0.6111,0.6038,0.6048,ExtraTreesClassifier,6
0.9969,0.9969,0.9474,0.9,0.9231,0.9215,0.9218,ExtraTreesClassifier,7
0.9887,0.9826,0.7895,0.6818,0.7317,0.7259,0.728,ExtraTreesClassifier,8
0.9948,0.9794,0.8421,0.8889,0.8649,0.8622,0.8626,ExtraTreesClassifier,9
0.9919,0.9841,0.8211,0.7792,0.7967,0.7926,0.7943,ExtraTreesClassifier,Mean
0.0032,0.0071,0.1084,0.0843,0.0847,0.0863,0.0862,ExtraTreesClassifier,Std
