Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9391,0.9594,0.7368,0.875,0.8,0.7644,0.7683,ExtraTreesClassifier,0
0.9565,0.9753,0.85,0.8947,0.8718,0.8456,0.846,ExtraTreesClassifier,1
0.9298,0.9186,0.6842,0.8667,0.7647,0.7241,0.7311,ExtraTreesClassifier,2
0.9211,0.9274,0.6316,0.8571,0.7273,0.6824,0.6932,ExtraTreesClassifier,3
0.9386,0.9562,0.6842,0.9286,0.7879,0.7529,0.7649,ExtraTreesClassifier,4
0.9825,0.9945,1.0,0.9048,0.95,0.9394,0.9411,ExtraTreesClassifier,5
0.9649,0.9889,0.8947,0.8947,0.8947,0.8737,0.8737,ExtraTreesClassifier,6
0.9737,0.9967,0.8947,0.9444,0.9189,0.9032,0.9037,ExtraTreesClassifier,7
0.9649,0.9651,0.8947,0.8947,0.8947,0.8737,0.8737,ExtraTreesClassifier,8
0.9211,0.9352,0.7895,0.75,0.7692,0.7216,0.722,ExtraTreesClassifier,9
0.9492,0.9617,0.8061,0.8811,0.8379,0.8081,0.8118,ExtraTreesClassifier,Mean
0.021,0.0265,0.1133,0.0504,0.0728,0.0846,0.0817,ExtraTreesClassifier,Std
