Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9217,0.9348,0.7895,0.75,0.7692,0.7221,0.7225,LGBMClassifier,0
0.9565,0.9758,0.85,0.8947,0.8718,0.8456,0.846,LGBMClassifier,1
0.9298,0.8837,0.7895,0.7895,0.7895,0.7474,0.7474,LGBMClassifier,2
0.9298,0.9053,0.6842,0.8667,0.7647,0.7241,0.7311,LGBMClassifier,3
0.9298,0.9302,0.5789,1.0,0.7333,0.6962,0.7307,LGBMClassifier,4
0.9737,0.9994,1.0,0.8636,0.9268,0.9109,0.9145,LGBMClassifier,5
0.9474,0.974,0.7895,0.8824,0.8333,0.8022,0.8039,LGBMClassifier,6
0.9825,0.9972,0.9474,0.9474,0.9474,0.9368,0.9368,LGBMClassifier,7
0.9561,0.9618,0.8947,0.85,0.8718,0.8454,0.8458,LGBMClassifier,8
0.9386,0.9501,0.7895,0.8333,0.8108,0.7742,0.7746,LGBMClassifier,9
0.9466,0.9512,0.8113,0.8678,0.8319,0.8005,0.8053,LGBMClassifier,Mean
0.0193,0.0361,0.116,0.068,0.0678,0.0782,0.074,LGBMClassifier,Std
