Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.8571,0.9228,0.75,0.7143,0.7317,0.6344,0.6348,RidgeClassifier,0
0.7763,0.8532,0.8421,0.5333,0.6531,0.5,0.5284,RidgeClassifier,1
0.8289,0.8606,0.7368,0.6364,0.6829,0.5667,0.5695,RidgeClassifier,2
0.7632,0.843,0.8947,0.5152,0.6538,0.493,0.5364,RidgeClassifier,3
0.8026,0.9437,0.8947,0.5667,0.6939,0.5588,0.5906,RidgeClassifier,4
0.8684,0.903,0.8421,0.6957,0.7619,0.6721,0.678,RidgeClassifier,5
0.8158,0.855,0.8421,0.5926,0.6957,0.5692,0.5873,RidgeClassifier,6
0.75,0.8209,0.7368,0.5,0.5957,0.4242,0.441,RidgeClassifier,7
0.8026,0.8264,0.6842,0.5909,0.6341,0.5,0.5025,RidgeClassifier,8
0.8158,0.9021,0.7368,0.6087,0.6667,0.541,0.5457,RidgeClassifier,9
0.8081,0.8731,0.7961,0.5954,0.677,0.5459,0.5614,RidgeClassifier,Mean
0.0361,0.0399,0.0714,0.068,0.0453,0.0684,0.0636,RidgeClassifier,Std
