Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.8961,0.9386,0.7,0.875,0.7778,0.7111,0.7186,LGBMClassifier,0
0.9342,0.964,0.8421,0.8889,0.8649,0.8214,0.822,LGBMClassifier,1
0.9211,0.9446,0.7895,0.8824,0.8333,0.7818,0.7839,LGBMClassifier,2
0.8684,0.891,0.6316,0.8,0.7059,0.6226,0.6299,LGBMClassifier,3
0.9737,0.9945,0.9474,0.9474,0.9474,0.9298,0.9298,LGBMClassifier,4
0.9342,0.9677,0.8421,0.8889,0.8649,0.8214,0.822,LGBMClassifier,5
0.9474,0.9806,0.8421,0.9412,0.8889,0.8545,0.8568,LGBMClassifier,6
0.9211,0.9603,0.7895,0.8824,0.8333,0.7818,0.7839,LGBMClassifier,7
0.9605,0.9825,0.8421,1.0,0.9143,0.8889,0.8944,LGBMClassifier,8
0.9474,0.9677,0.8421,0.9412,0.8889,0.8545,0.8568,LGBMClassifier,9
0.9304,0.9591,0.8068,0.9047,0.8519,0.8068,0.8098,LGBMClassifier,Mean
0.0293,0.0277,0.0829,0.0519,0.066,0.0844,0.0827,LGBMClassifier,Std
