Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.8831,0.9605,0.7,0.8235,0.7568,0.6805,0.6844,LogisticRegression,0
0.9079,0.9658,0.8421,0.8,0.8205,0.7586,0.7591,LogisticRegression,1
0.9211,0.9234,0.7895,0.8824,0.8333,0.7818,0.7839,LogisticRegression,2
0.8947,0.9252,0.8421,0.7619,0.8,0.7288,0.7305,LogisticRegression,3
0.9605,0.9963,0.8947,0.9444,0.9189,0.8929,0.8934,LogisticRegression,4
0.9342,0.9769,0.8947,0.85,0.8718,0.8276,0.8281,LogisticRegression,5
0.9079,0.9714,0.8421,0.8,0.8205,0.7586,0.7591,LogisticRegression,6
0.9211,0.9566,0.7895,0.8824,0.8333,0.7818,0.7839,LogisticRegression,7
0.9474,0.9557,0.8421,0.9412,0.8889,0.8545,0.8568,LogisticRegression,8
0.9605,0.9778,0.9474,0.9,0.9231,0.8966,0.8971,LogisticRegression,9
0.9238,0.961,0.8384,0.8586,0.8467,0.7962,0.7976,LogisticRegression,Mean
0.0253,0.0216,0.065,0.0588,0.0505,0.0671,0.0665,LogisticRegression,Std
