Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9478,0.9375,0.7895,0.8824,0.8333,0.8025,0.8043,GradientBoostingClassifier,0
0.9652,0.9958,0.8,1.0,0.8889,0.8686,0.8762,GradientBoostingClassifier,1
0.9561,0.9734,0.8947,0.85,0.8718,0.8454,0.8458,GradientBoostingClassifier,2
0.9123,0.9601,0.6316,0.8,0.7059,0.6552,0.6615,GradientBoostingClassifier,3
0.9561,0.9884,0.8421,0.8889,0.8649,0.8387,0.8391,GradientBoostingClassifier,4
0.9825,0.9878,0.8947,1.0,0.9444,0.9341,0.9361,GradientBoostingClassifier,5
0.9649,0.9917,0.7895,1.0,0.8824,0.8621,0.8704,GradientBoostingClassifier,6
0.9561,0.9352,0.8947,0.85,0.8718,0.8454,0.8458,GradientBoostingClassifier,7
0.9561,0.9839,0.8947,0.85,0.8718,0.8454,0.8458,GradientBoostingClassifier,8
0.9474,0.9834,0.7368,0.9333,0.8235,0.7931,0.8008,GradientBoostingClassifier,9
0.9545,0.9737,0.8168,0.9055,0.8559,0.829,0.8326,GradientBoostingClassifier,Mean
0.017,0.021,0.0821,0.0698,0.0588,0.0684,0.0676,GradientBoostingClassifier,Std
