Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.8,0.8761,0.7368,0.4375,0.549,0.4311,0.4552,RidgeClassifier,0
0.8522,0.8753,0.8,0.5517,0.6531,0.5631,0.5788,RidgeClassifier,1
0.8421,0.9175,0.8947,0.5152,0.6538,0.561,0.5968,RidgeClassifier,2
0.8333,0.9091,0.8421,0.5,0.6275,0.5289,0.5587,RidgeClassifier,3
0.8333,0.9291,0.8421,0.5,0.6275,0.5289,0.5587,RidgeClassifier,4
0.8158,0.8465,0.7895,0.4688,0.5882,0.4793,0.5064,RidgeClassifier,5
0.8158,0.8925,0.7368,0.4667,0.5714,0.4615,0.4811,RidgeClassifier,6
0.807,0.8366,0.7895,0.4545,0.5769,0.4634,0.493,RidgeClassifier,7
0.7895,0.9335,0.9474,0.439,0.6,0.482,0.5477,RidgeClassifier,8
0.8158,0.8499,0.6316,0.4615,0.5333,0.422,0.4301,RidgeClassifier,9
0.8205,0.8866,0.8011,0.4795,0.5981,0.4921,0.5207,RidgeClassifier,Mean
0.0185,0.0335,0.0841,0.0346,0.0396,0.0481,0.0528,RidgeClassifier,Std
