Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9565,0.966,0.8947,0.85,0.8718,0.8456,0.846,LGBMClassifier,0
0.9739,0.9921,0.9,0.9474,0.9231,0.9074,0.9078,LGBMClassifier,1
0.9474,0.9839,0.8421,0.8421,0.8421,0.8105,0.8105,LGBMClassifier,2
0.9298,0.9673,0.7368,0.8235,0.7778,0.7363,0.7379,LGBMClassifier,3
0.9561,0.9928,0.8421,0.8889,0.8649,0.8387,0.8391,LGBMClassifier,4
0.9737,0.9789,0.8421,1.0,0.9143,0.8989,0.9035,LGBMClassifier,5
0.9474,0.9812,0.7368,0.9333,0.8235,0.7931,0.8008,LGBMClassifier,6
0.9474,0.9789,0.7895,0.8824,0.8333,0.8022,0.8039,LGBMClassifier,7
0.9649,0.9789,0.8947,0.8947,0.8947,0.8737,0.8737,LGBMClassifier,8
0.9474,0.9922,0.7368,0.9333,0.8235,0.7931,0.8008,LGBMClassifier,9
0.9544,0.9812,0.8216,0.8996,0.8569,0.8299,0.8324,LGBMClassifier,Mean
0.0129,0.0091,0.0638,0.0516,0.0432,0.0506,0.0499,LGBMClassifier,Std
