Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.995,0.9829,0.8947,1.0,0.9444,0.9418,0.9434,LGBMClassifier,0
0.995,0.9993,0.8947,1.0,0.9444,0.9418,0.9434,LGBMClassifier,1
0.9875,0.9892,0.7895,0.9375,0.8571,0.8507,0.8541,LGBMClassifier,2
0.985,0.9934,0.8421,0.8421,0.8421,0.8342,0.8342,LGBMClassifier,3
0.98,0.9936,0.8421,0.7619,0.8,0.7895,0.7906,LGBMClassifier,4
0.985,0.9376,0.6842,1.0,0.8125,0.805,0.8207,LGBMClassifier,5
0.9774,0.9936,0.8421,0.7273,0.7805,0.7687,0.771,LGBMClassifier,6
0.9774,0.9694,0.6316,0.8571,0.7273,0.7158,0.7249,LGBMClassifier,7
0.9825,0.9555,0.7368,0.875,0.8,0.7909,0.7941,LGBMClassifier,8
0.9825,0.9773,0.6842,0.9286,0.7879,0.7789,0.7888,LGBMClassifier,9
0.9847,0.9792,0.7842,0.8929,0.8296,0.8217,0.8265,LGBMClassifier,Mean
0.006,0.0188,0.0895,0.093,0.0663,0.0693,0.0674,LGBMClassifier,Std
