Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9925,0.9953,0.9474,0.9,0.9231,0.9191,0.9195,LogisticRegression,0
0.995,0.9957,0.9474,0.9474,0.9474,0.9447,0.9447,LogisticRegression,1
0.9825,0.9771,0.7368,0.875,0.8,0.7909,0.7941,LogisticRegression,2
0.9825,0.9952,0.7895,0.8333,0.8108,0.8016,0.802,LogisticRegression,3
0.975,0.98,0.8421,0.6957,0.7619,0.7488,0.7526,LogisticRegression,4
0.9825,0.9329,0.7368,0.875,0.8,0.7909,0.7941,LogisticRegression,5
0.9799,0.9884,0.8947,0.7391,0.8095,0.799,0.8031,LogisticRegression,6
0.9799,0.9701,0.7895,0.7895,0.7895,0.7789,0.7789,LogisticRegression,7
0.9774,0.9396,0.7368,0.7778,0.7568,0.7449,0.7452,LogisticRegression,8
0.985,0.9439,0.7368,0.9333,0.8235,0.8158,0.822,LogisticRegression,9
0.9832,0.9718,0.8158,0.8366,0.8222,0.8135,0.8156,LogisticRegression,Mean
0.0059,0.0232,0.0824,0.0798,0.0601,0.0631,0.0625,LogisticRegression,Std
