Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9925,0.9946,0.8947,0.9444,0.9189,0.915,0.9154,GradientBoostingClassifier,0
0.9925,0.9985,0.8947,0.9444,0.9189,0.915,0.9154,GradientBoostingClassifier,1
0.9825,0.9794,0.6842,0.9286,0.7879,0.779,0.7889,GradientBoostingClassifier,2
0.9875,0.9967,0.8947,0.85,0.8718,0.8652,0.8655,GradientBoostingClassifier,3
0.98,0.9923,0.8421,0.7619,0.8,0.7895,0.7906,GradientBoostingClassifier,4
0.9825,0.9431,0.6842,0.9286,0.7879,0.779,0.7889,GradientBoostingClassifier,5
0.9799,0.9939,0.7895,0.7895,0.7895,0.7789,0.7789,GradientBoostingClassifier,6
0.9774,0.9507,0.6842,0.8125,0.7429,0.7312,0.7341,GradientBoostingClassifier,7
0.9799,0.9353,0.7368,0.8235,0.7778,0.7673,0.7686,GradientBoostingClassifier,8
0.9774,0.9482,0.5789,0.9167,0.7097,0.6986,0.7186,GradientBoostingClassifier,9
0.9832,0.9733,0.7684,0.87,0.8105,0.8019,0.8065,GradientBoostingClassifier,Mean
0.0054,0.0244,0.1058,0.0665,0.0668,0.0694,0.0657,GradientBoostingClassifier,Std
