Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9381,0.9771,0.9474,0.6,0.7347,0.7016,0.7251,RidgeClassifier,0
0.9238,0.9201,0.8947,0.5484,0.68,0.6396,0.6643,RidgeClassifier,1
0.9286,0.957,0.7368,0.5833,0.6512,0.612,0.6172,RidgeClassifier,2
0.9139,0.9186,0.7368,0.5185,0.6087,0.5619,0.5729,RidgeClassifier,3
0.9426,0.992,0.9474,0.6207,0.75,0.7191,0.7397,RidgeClassifier,4
0.9426,0.9762,0.8947,0.6296,0.7391,0.708,0.7218,RidgeClassifier,5
0.9378,0.9424,0.8421,0.6154,0.7111,0.6772,0.6877,RidgeClassifier,6
0.9187,0.9579,0.8947,0.5312,0.6667,0.6237,0.6513,RidgeClassifier,7
0.9378,0.9823,0.8947,0.6071,0.7234,0.6898,0.7063,RidgeClassifier,8
0.933,0.9357,0.6842,0.619,0.65,0.6131,0.614,RidgeClassifier,9
0.9317,0.9559,0.8474,0.5873,0.6915,0.6546,0.67,RidgeClassifier,Mean
0.0096,0.0248,0.0895,0.0383,0.0446,0.0493,0.0529,RidgeClassifier,Std
