Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9619,0.9592,0.6316,0.9231,0.75,0.7302,0.7456,GradientBoostingClassifier,0
0.9571,0.9667,0.7368,0.7778,0.7568,0.7333,0.7336,GradientBoostingClassifier,1
0.9714,0.9859,0.8421,0.8421,0.8421,0.8264,0.8264,GradientBoostingClassifier,2
0.9713,0.9803,0.7368,0.9333,0.8235,0.8081,0.8148,GradientBoostingClassifier,3
0.9904,0.9936,0.9474,0.9474,0.9474,0.9421,0.9421,GradientBoostingClassifier,4
0.9713,0.9801,0.8421,0.8421,0.8421,0.8263,0.8263,GradientBoostingClassifier,5
0.9809,0.9418,0.7895,1.0,0.8824,0.8721,0.8793,GradientBoostingClassifier,6
0.9665,0.9812,0.8947,0.7727,0.8293,0.8108,0.8135,GradientBoostingClassifier,7
0.9761,0.9911,0.8421,0.8889,0.8649,0.8518,0.8521,GradientBoostingClassifier,8
0.9474,0.9537,0.5789,0.7857,0.6667,0.6388,0.6476,GradientBoostingClassifier,9
0.9694,0.9734,0.7842,0.8713,0.8205,0.804,0.8081,GradientBoostingClassifier,Mean
0.0115,0.0163,0.109,0.0753,0.0746,0.0805,0.0781,GradientBoostingClassifier,Std
