Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9476,0.9843,0.5789,0.7857,0.6667,0.6389,0.6477,LGBMClassifier,0
0.9667,0.9581,0.7368,0.875,0.8,0.782,0.7854,LGBMClassifier,1
0.9762,0.992,0.7895,0.9375,0.8571,0.8443,0.848,LGBMClassifier,2
0.9713,0.9607,0.7368,0.9333,0.8235,0.8081,0.8148,LGBMClassifier,3
0.9809,0.9975,0.9474,0.8571,0.9,0.8894,0.8908,LGBMClassifier,4
0.9761,0.9825,0.8947,0.85,0.8718,0.8586,0.859,LGBMClassifier,5
0.9809,0.9806,0.7895,1.0,0.8824,0.8721,0.8793,LGBMClassifier,6
0.9761,0.9873,0.8947,0.85,0.8718,0.8586,0.859,LGBMClassifier,7
0.9856,0.9956,0.8947,0.9444,0.9189,0.9111,0.9115,LGBMClassifier,8
0.9569,0.9537,0.6316,0.8571,0.7273,0.7045,0.7142,LGBMClassifier,9
0.9718,0.9792,0.7895,0.889,0.8319,0.8168,0.821,LGBMClassifier,Mean
0.0112,0.0152,0.1153,0.0597,0.0761,0.0819,0.0792,LGBMClassifier,Std
