Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9762,0.9898,0.7895,0.9375,0.8571,0.8443,0.848,LogisticRegression,0
0.9524,0.938,0.8421,0.6957,0.7619,0.7357,0.7399,LogisticRegression,1
0.9667,0.9708,0.7895,0.8333,0.8108,0.7925,0.7929,LogisticRegression,2
0.9761,0.9823,0.8421,0.8889,0.8649,0.8518,0.8521,LogisticRegression,3
0.9809,0.9964,0.9474,0.8571,0.9,0.8894,0.8908,LogisticRegression,4
0.9761,0.9931,0.8947,0.85,0.8718,0.8586,0.859,LogisticRegression,5
0.9665,0.9446,0.7895,0.8333,0.8108,0.7925,0.7928,LogisticRegression,6
0.9617,0.9795,0.8421,0.7619,0.8,0.7789,0.7801,LogisticRegression,7
0.9713,0.9961,0.8421,0.8421,0.8421,0.8263,0.8263,LogisticRegression,8
0.9617,0.9875,0.7368,0.8235,0.7778,0.7569,0.7583,LogisticRegression,9
0.9689,0.9778,0.8316,0.8323,0.8297,0.8127,0.814,LogisticRegression,Mean
0.0083,0.0198,0.0567,0.0625,0.0421,0.0466,0.0462,LogisticRegression,Std
