Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Model,Type
0.9571,0.9791,0.6316,0.8571,0.7273,0.7046,0.7143,ExtraTreesClassifier,0
0.9667,0.9611,0.8421,0.8,0.8205,0.8022,0.8025,ExtraTreesClassifier,1
0.9714,0.9796,0.8421,0.8421,0.8421,0.8264,0.8264,ExtraTreesClassifier,2
0.9617,0.9615,0.7368,0.8235,0.7778,0.7569,0.7583,ExtraTreesClassifier,3
0.9856,0.9942,0.9474,0.9,0.9231,0.9152,0.9155,ExtraTreesClassifier,4
0.9713,0.992,0.8421,0.8421,0.8421,0.8263,0.8263,ExtraTreesClassifier,5
0.9809,0.9795,0.7895,1.0,0.8824,0.8721,0.8793,ExtraTreesClassifier,6
0.9569,0.9742,0.8421,0.7273,0.7805,0.7568,0.7593,ExtraTreesClassifier,7
0.9665,0.9895,0.8421,0.8,0.8205,0.8021,0.8024,ExtraTreesClassifier,8
0.9522,0.9742,0.6316,0.8,0.7059,0.6802,0.6859,ExtraTreesClassifier,9
0.967,0.9785,0.7947,0.8392,0.8122,0.7943,0.797,ExtraTreesClassifier,Mean
0.0101,0.0108,0.0955,0.0688,0.0631,0.0683,0.0669,ExtraTreesClassifier,Std
